epoch,categorical_accuracy,loss,mean_absolute_error,val_categorical_accuracy,val_loss,val_mean_absolute_error
0,0.8595935106277466,0.3746126890182495,0.07576253265142441,0.8149459958076477,0.5332175493240356,0.09002691507339478
1,0.8658923506736755,0.3505178391933441,0.07165398448705673,0.8112661242485046,0.5262216329574585,0.09072262793779373
2,0.8710323572158813,0.3349827826023102,0.0689103975892067,0.8141149282455444,0.5529232621192932,0.08817847073078156
3,0.8770997524261475,0.316417932510376,0.06539329886436462,0.814646303653717,0.5466200709342957,0.08885376900434494
4,0.882856547832489,0.2990213632583618,0.06230078265070915,0.813275158405304,0.5647079348564148,0.08704496175050735
5,0.8855192065238953,0.29018718004226685,0.06071938946843147,0.804962158203125,0.5645681619644165,0.08940158039331436
6,0.8885433077812195,0.28014469146728516,0.05896425247192383,0.8133429884910583,0.5884678959846497,0.0862862765789032
