epoch,categorical_accuracy,loss,mean_absolute_error,val_categorical_accuracy,val_loss,val_mean_absolute_error
0,0.4419274926185608,1.3924336433410645,0.2745923697948456,0.4384573996067047,1.2896759510040283,0.26400038599967957
1,0.4465378522872925,1.2826828956604004,0.25941574573516846,0.43825069069862366,1.2631760835647583,0.2580815553665161
2,0.446595698595047,1.2650917768478394,0.2556716501712799,0.4385128915309906,1.2499897480010986,0.25584322214126587
3,0.44684067368507385,1.2541415691375732,0.25299322605133057,0.43791449069976807,1.2409683465957642,0.25233954191207886
4,0.4481555223464966,1.246673822402954,0.2509567141532898,0.4443087875843048,1.2338680028915405,0.25194433331489563
5,0.4523932933807373,1.2403860092163086,0.2493622750043869,0.4408417046070099,1.228686809539795,0.24830159544944763
6,0.4575051963329315,1.2347866296768188,0.24784325063228607,0.4625421166419983,1.2233237028121948,0.25053948163986206
7,0.4613746702671051,1.2295374870300293,0.24691909551620483,0.4639158546924591,1.2156654596328735,0.24877004325389862
8,0.46504661440849304,1.2245160341262817,0.2458527535200119,0.46780869364738464,1.2115551233291626,0.247401162981987
9,0.4687179625034332,1.2199114561080933,0.24479633569717407,0.45212996006011963,1.2075181007385254,0.24384373426437378
10,0.4708678126335144,1.2159063816070557,0.24398937821388245,0.4711650013923645,1.2016360759735107,0.24529607594013214
11,0.47381943464279175,1.2113697528839111,0.2431296408176422,0.465633749961853,1.1970897912979126,0.2432074397802353
12,0.4756961166858673,1.207382321357727,0.24235719442367554,0.47144660353660583,1.191524624824524,0.24271994829177856
13,0.47818607091903687,1.2035850286483765,0.2414148896932602,0.46307235956192017,1.1894830465316772,0.24090182781219482
14,0.4812706708908081,1.1977578401565552,0.24069608747959137,0.47772926092147827,1.1830379962921143,0.24092429876327515
15,0.482980340719223,1.1954853534698486,0.23989337682724,0.47514617443084717,1.180721402168274,0.23995313048362732
16,0.48372000455856323,1.1921746730804443,0.239257350564003,0.47909167408943176,1.1753052473068237,0.23960822820663452
17,0.4858219623565674,1.1883008480072021,0.23859965801239014,0.49264129996299744,1.173781394958496,0.24063509702682495
18,0.4871503412723541,1.1851919889450073,0.23807305097579956,0.48436522483825684,1.1669505834579468,0.23808909952640533
19,0.48905670642852783,1.1804320812225342,0.23720286786556244,0.48539379239082336,1.1625185012817383,0.23826859891414642
